film_id,title,year,director
H1,T:Always Tell Your Wife,1922,D:Se.Hicks
H2,T:Number Thirteen,1922,D:Hitchcock
H3,T:Woman to Woman,1922,D:Hitchcock
H4,T:The Passionate Adventure,1924,D:Hitchcock
H5,T:The Blackguard,1925,D:Hitchcock
H7,T:The Pleasure Garden,1925,D:Hitchcock
H8,T:The Mountain Eagle,1926,D:Hitchcock
H9,T:The Lodger: A Story of The London Fog,1926,D:Hitchcock
H10,T:Downhill,1927,D:Hitchcock
H11,T:Easy Virtue,1927,D:Hitchcock
H12,T:The Ring,1927,D:Hitchcock
H13,T:The Farmer's Wife,1928,D:Hitchcock
H14,T:Champagne,1928,D:Hitchcock
H15,T:Harmony Heaven,1929,D:Hitchcock
H16,T:The Manxman,1929,D:Hitchcock
H17,T:Blackmail,1929,D:Hitchcock
H18,T:Elstree Calling,1929,D:none
H19,T:Juno And The Paycock,1930,D:Hitchcock
H20,T:Murder!,1930,D:Hitchcock
H21,T:The Skin Game,1931,D:Hitchcock
H22,T:Rich and Strange,1932,D:Hitchcock
H23,T:Number Seventeen,1932,D:Hitchcock
H24,T:Lord Camber's Ladies,1932,D:Hitchcok
H25,T:Waltzes From Vienna,1933,D:Hitchcock
H26,T:The Man Who Knew Too Much,1934,D:Hitchcock
H27,T:The 39 Steps,1935,D:Hitchcock
H28,T:Secret Agent,1936,D:Hitchcock
H29,T:Sabotage,1936,D:Hitchcock
H30,T:Young and Innocent,1938,D:Hitchcock
H31,T:The Lady Vanishes,1938,D:Hitchcock
H32,T:Jamaica Inn,1939,D:Hitchcock
H33,T:Rebecca,1940,D:Hitchcock
H34,T:Foreign Correspondent,1940,D:Hitchcock
H35,T:Mr.~and Mrs.~Smith,1941,D:Hitchcock
H36,T:Suspicion,1941,D:Hitchcock
H37,T:Saboteur,1942,D:Hitchcock
H38,T:Shadow of a Doubt,1943,D:Hitchcock
H39,T:Lifeboat,1943,D:Hitchcock
H42,T:Spellbound,1945,D:Hitchcock
H43,T:Notorious,1946,D:Hitchcock
H44,T:The Paradine Case,1947,D:Hitchcock
H45,T:Rope,1948,D:Hitchcock
H46,T:Under Capricorn,1949,D:Hitchcock
H47,T:Stage Fright,1950,D:Hitchcock
H48,T:Strangers on a Train,1951,D:Hitchcock
H49,T:I Confess,1952,D:Hitchcock
H50,T:Dial M for Murder,1954,D:Hitchcock
H51,T:Rear Window,1954,D:Hitchcock
H52,T:To Catch a Thief,1955,D:Hitchcock
H53,T:The Trouble with Harry,1956,D:Hitchcock
H57,T:The Man Who Knew Too Much,1956,D:Hitchcock
H61,T:The Wrong Man,1957,D:Hitchcock
H65,T:Vertigo,1958,D:Hitchcock
H69,T:North by Northwest,1959,D:Hitchcock
H73,T:Psycho,1960,D:Hitchcock
H79,T:The Birds,1963,D:Hitchcock
H80,T:Marnie,1964,D:Hitchcock
H81,T:Torn Curtain,1966,D:Hitchcock
H82,T:Topaz,1969,D:Hitchcock
H83,T:Frenzy,1972,D:Hitchcock
H84,T:Family Plot,1976,D:Hitchcock
H40,T:Aventure Malgache,1944,D:Hitchcock
H41,T:Bon Voyage,1944,D:Hitchcock
H54,T:Revenge,1955,D:Hitchcock
H55,T:Breakdown,1955,D:Hitchcock
H56,T:The Case of Mr.~Pelham,1955,D:Hitchcock
H58,T:Back For Christmas,1956,D:Hitchcock
H59,T:Wet Saturday,1956,D:Hitchcock
H60,T:Mr.~Blanchhard's Secret,1956,D:Hitchcock
H62,T:One More Mile To Go,1957,D:Hitchcock
H63,T:Four O'Clock,1957,D:Hitchcock
H64,T:The Perfect Crime,1957,D:Hitchcock
H66,T:Lamb To The Slaughter,1958,D:Hitchcock
H67,T:A Dip In The Pool,1958,D:Hitchcock
H68,T:Poison,1958,D:Hitchcock
H70,T:Banquo's Chair,1959,D:Hitchcock
H71,T:Arthur,1959,D:Hitchcock
H72,T:The Crystal Trench,1959,D:Hitchcock
H74,T:Incident At A Corner,1960,D:Hitchcock
H75,T:Mrs.~Bixby And The Colonel's Coat,1960,D:Hitchcock
H76,T:The Horseplayer,1961,D:Hitchcock
H77,T:Bang! You're Dead,1961,D:Hitchcock
H78,T:I Saw The Whole Thing,1962,D:Hitchcock
WKD10,T:The Edison Kinetopic Record of A Sneeze,1893,D:
WKD50,"T:Terrible Teddy, the Grizzly King",1901,D:Dickson
ALu1,T:La Premiere Seance du Salon Indien au Grand Caf\'e,1895,D:A.Lumiere
ALu2,T:La Sortie des Usines Lumi\`ere,1895,D:A.Lumiere
ALu3,T:Arriv\'ee d'un train en G\^are de la Ciatat,1895,D:A.Lumiere
ALu4,T:Le Gouter de B\'eb\'e,1895,D:A.Lumiere
ALu5,T:L'Arroseur arross\'e,1895,D:A.Lumiere
ALu6,T:Barque Quittant le Port,1895,D:A.Lumiere
ALu7,T:Boules,1895,D:A.Lumiere
ALu30,T:L'assissinatat du Duc de Guise,1908,D:A.Lumiere
ESP9,T:Jack and the Beanstalk,1902,D:E.S.Porter
ESP10,T:Uncle Tom's Cabin,1902,D:E.S.Porter
ESP11,T:Life of an American Fireman,1903,D:E.S.Porter
ESP12,T:The Great Train Robbery,1903,D:E.S.Porter
